"Date","Words","SRPVS","Market"
2018-11-15,"('woman',)",576429,"en-GB"
2018-11-15,"('men',)",374605,"en-GB"
2018-11-15,"('shoe',)",149266,"en-GB"
2018-11-15,"('dress',)",154259,"en-GB"
2018-11-15,"('clothing',)",288649,"en-GB"
2018-11-15,"('woman', 'men')",215416,"en-GB"
2018-11-15,"('woman', 'shoe')",70444,"en-GB"
2018-11-15,"('woman', 'dress')",76883,"en-GB"
2018-11-15,"('woman', 'clothing')",119225,"en-GB"
2018-11-15,"('men', 'shoe')",47517,"en-GB"
2018-11-15,"('men', 'dress')",19463,"en-GB"
2018-11-15,"('men', 'clothing')",78169,"en-GB"
2018-11-15,"('shoe', 'dress')",27998,"en-GB"
2018-11-15,"('shoe', 'clothing')",47236,"en-GB"
2018-11-15,"('dress', 'clothing')",47904,"en-GB"
2018-11-15,"('woman', 'men', 'shoe')",33578,"en-GB"
2018-11-15,"('woman', 'men', 'dress')",15327,"en-GB"
2018-11-15,"('woman', 'men', 'clothing')",53116,"en-GB"
2018-11-15,"('woman', 'shoe', 'dress')",20135,"en-GB"
2018-11-15,"('woman', 'shoe', 'clothing')",29540,"en-GB"
2018-11-15,"('woman', 'dress', 'clothing')",38173,"en-GB"
2018-11-15,"('men', 'shoe', 'dress')",4908,"en-GB"
2018-11-15,"('men', 'shoe', 'clothing')",19431,"en-GB"
2018-11-15,"('men', 'dress', 'clothing')",11000,"en-GB"
2018-11-15,"('shoe', 'dress', 'clothing')",13768,"en-GB"
2018-11-15,"('woman', 'men', 'shoe', 'dress')",3973,"en-GB"
2018-11-15,"('woman', 'men', 'shoe', 'clothing')",14598,"en-GB"
2018-11-15,"('woman', 'men', 'dress', 'clothing')",9924,"en-GB"
2018-11-15,"('woman', 'shoe', 'dress', 'clothing')",11607,"en-GB"
2018-11-15,"('men', 'shoe', 'dress', 'clothing')",2256,"en-GB"
2018-11-15,"('woman', 'men', 'shoe', 'dress', 'clothing')",1945,"en-GB"
2018-11-15,"('porn',)",347810,"en-GB"
2018-11-15,"('video',)",2109441,"en-GB"
2018-11-15,"('sex',)",341456,"en-GB"
2018-11-15,"('xxx',)",223780,"en-GB"
2018-11-15,"('tube',)",275967,"en-GB"
