"Topic","Words","Date","Market"
0,"woman men shoe dress clothing shop boot style jacket range fashion size online coat debenhams collection discover bag shirt wide",2018-11-15,"en-GB"
1,"porn video sex xxx tube movie quality watch pornhubcom clip growing relevant collection high discover pornhub scene teen gay xhamster",2018-11-15,"en-GB"
10,"christmas tree festive decoration market santa party shipping perfect carol selection item advert season largest december xmas jumper craft ebay",2018-11-15,"en-GB"
11,"game play online fun xbox player unblocked math kid puzzle fortnite console gaming cool playing board nintendo new playstation multiplayer",2018-11-15,"en-GB"
12,"product water energy door design range gas supply quality kitchen oil home building steel material wall supplier air high solution",2018-11-15,"en-GB"
13,"number phone mobile calling telephone called user report contact digit area landline read customer searched fraction received address rating cost",2018-11-15,"en-GB"
14,"definition synonym thesaurus english antonym translation dictionary alternative thesauruscom descriptive online meaning pronunciation collins language example french phrase web acronym",2018-11-15,"en-GB"
15,"facebook people connect power know join named share view friend profile log family make tweet page young life message twitter",2018-11-15,"en-GB"
16,"day week argo fast delivery date set collection hour month calendar november nursery open working work monday sunday minute countdown",2018-11-15,"en-GB"
17,"rate currency exchange pound gbp dollar euro british convert usd sterling converter eur conversion foreign chart live money calculator travel",2018-11-15,"en-GB"
18,"weather forecast temperature day rain wind accuweathercom hourly report warning sunny shower cloud breeze kingdom precipitation united pressure outlook speed",2018-11-15,"en-GB"
19,"train ticket bus station travel rail trainline cheap live journey route europe retailer independent timetable railway leading fare coach information",2018-11-15,"en-GB"
2,"ebay shop great deal confidence selection toy item shipping set kit bag bike shopping vintage accessory feed model perfect coin",2018-11-15,"en-GB"
20,"hotel book stay tripadvisor room deal great candid inn spa review traveller availability photo luxury accommodation break guest star rate",2018-11-15,"en-GB"
21,"child kid need young parent family adult learning support baby help pudsey development activity childrens age safeguarding people charity abuse",2018-11-15,"en-GB"
22,"flight airport airline cheap book compare airway departure travel status heathrow price arrival air manchester destination international deal fly cheapest",2018-11-15,"en-GB"
23,"tax income pay hmrc rate pension allowance benefit payment vehicle vat credit calculator salary claim band april employer employee personal",2018-11-15,"en-GB"
24,"park parking street pay airport charge display garage meter private space hour station map postcode road caravan ride opening located",2018-11-15,"en-GB"
25,"code discount voucher promo november area coupon country tested valid verified offer money international dialing latest dialling spend saving sort",2018-11-15,"en-GB"
26,"music song lyric album youtube artist love listen video track band amazon piano stream official original rock play guitar sheet",2018-11-15,"en-GB"
27,"university student course college education research study training learning degree campus staff library academic undergraduate science postgraduate career graduate ranking",2018-11-15,"en-GB"
28,"opening map contact direction local search hour yell photo road review information surgery hospital address phone video servicetreatment street driving",2018-11-15,"en-GB"
29,"image stock photo vector million picture affordable royalty illustration royaltyfree search art collection cartoon commercial attribution shutterstock thousand stunning use",2018-11-15,"en-GB"
